brand_id,brand_name,brand_name_en,logo,country,energy_types,brand_type
1,比亚迪,BYD,,中国,"插电混动,纯电动",中国品牌
2,吉利,Geely,,中国,"插电混动,燃油,纯电动",中国品牌
3,长安,Changan,,中国,"增程,燃油,纯电动",中国品牌
4,长城,GWM,,中国,"插电混动,油电混动,燃油,纯电动",中国品牌
5,奇瑞,Chery,,中国,燃油,中国品牌
6,蔚来,NIO,,中国,纯电动,新能源品牌
7,理想,Li Auto,,中国,"增程,纯电动",新能源品牌
8,小鹏,XPeng,,中国,纯电动,新能源品牌
9,问界,AITO,,中国,"增程,纯电动",新能源品牌
10,极氪,Zeekr,,中国,纯电动,新能源品牌
11,坦克,Tank,,中国,"插电混动,油电混动,燃油",中国品牌
12,零跑,Leapmotor,,中国,纯电动,新能源品牌
13,哪吒,Neta,,中国,纯电动,新能源品牌
14,小米,Xiaomi,,中国,纯电动,新能源品牌
15,仰望,Yangwang,,中国,"插电混动,纯电动",新能源品牌
16,丰田,Toyota,,日本,"油电混动,燃油",日系品牌
17,本田,Honda,,日本,"油电混动,燃油",日系品牌
18,日产,Nissan,,日本,"油电混动,燃油,纯电动",日系品牌
19,马自达,Mazda,,日本,燃油,日系品牌
20,雷克萨斯,Lexus,,日本,"油电混动,燃油,纯电动",日系品牌
21,大众,Volkswagen,,德国,"燃油,纯电动",欧美品牌
22,奔驰,Mercedes-Benz,,德国,"燃油,纯电动",欧美品牌
23,宝马,BMW,,德国,"油电混动,燃油,纯电动",欧美品牌
24,奥迪,Audi,,德国,"燃油,纯电动",欧美品牌
25,保时捷,Porsche,,德国,"油电混动,燃油,纯电动",欧美品牌
26,特斯拉,Tesla,,美国,纯电动,欧美品牌
27,福特,Ford,,美国,"油电混动,燃油",欧美品牌
28,通用,GM,,美国,燃油,欧美品牌
29,现代,Hyundai,,韩国,"油电混动,燃油,纯电动",合资品牌
30,起亚,Kia,,韩国,"油电混动,燃油,纯电动",合资品牌
