brand_id,month,sales,growth_rate,market_share
1,2025-01,7485,0.0,5.81
1,2025-02,6632,-11.4,5.91
1,2025-03,13142,98.2,5.81
1,2025-04,12182,-7.3,6.32
1,2025-05,10911,-10.4,5.8
1,2025-06,10579,-3.0,5.85
1,2025-07,11263,6.5,5.95
1,2025-08,11322,0.5,5.74
1,2025-09,14696,29.8,6.02
1,2025-10,13758,-6.4,6.11
1,2025-11,12123,-11.9,6.28
1,2025-12,12302,1.5,5.97
1,2026-01,9371,-23.8,6.8
1,2026-02,7861,-16.1,6.75
1,2026-03,15492,97.1,6.5
1,2026-04,12262,-20.8,5.94
1,2026-05,12963,5.7,6.5
1,2026-06,12331,-4.9,6.51
2,2025-01,6157,0.0,4.78
2,2025-02,5035,-18.2,4.49
2,2025-03,10394,106.4,4.59
2,2025-04,9099,-12.5,4.72
2,2025-05,9070,-0.3,4.82
2,2025-06,8905,-1.8,4.92
2,2025-07,9382,5.4,4.95
2,2025-08,9590,2.2,4.86
2,2025-09,11477,19.7,4.7
2,2025-10,10432,-9.1,4.63
2,2025-11,8591,-17.6,4.45
2,2025-12,9948,15.8,4.83
2,2026-01,6718,-32.5,4.88
2,2026-02,5048,-24.9,4.33
2,2026-03,11395,125.7,4.78
2,2026-04,9663,-15.2,4.68
2,2026-05,8890,-8.0,4.46
2,2026-06,8714,-2.0,4.6
3,2025-01,6565,0.0,5.1
3,2025-02,5745,-12.5,5.12
3,2025-03,11566,101.3,5.11
3,2025-04,11279,-2.5,5.85
3,2025-05,10119,-10.3,5.38
3,2025-06,8731,-13.7,4.82
3,2025-07,8827,1.1,4.66
3,2025-08,9438,6.9,4.78
3,2025-09,11561,22.5,4.74
3,2025-10,12113,4.8,5.38
3,2025-11,10187,-15.9,5.28
3,2025-12,10057,-1.3,4.88
3,2026-01,6590,-34.5,4.78
3,2026-02,5401,-18.0,4.63
3,2026-03,12041,122.9,5.06
3,2026-04,10692,-11.2,5.18
3,2026-05,9509,-11.1,4.77
3,2026-06,9520,0.1,5.02
4,2025-01,6096,0.0,4.73
4,2025-02,6110,0.2,5.45
4,2025-03,11013,80.2,4.86
4,2025-04,9905,-10.1,5.14
4,2025-05,8440,-14.8,4.49
4,2025-06,9561,13.3,5.28
4,2025-07,8156,-14.7,4.31
4,2025-08,8870,8.8,4.49
4,2025-09,10391,17.1,4.26
4,2025-10,11267,8.4,5.0
4,2025-11,9091,-19.3,4.71
4,2025-12,10806,18.9,5.24
4,2026-01,7642,-29.3,5.55
4,2026-02,5871,-23.2,5.04
4,2026-03,10505,78.9,4.41
4,2026-04,10760,2.4,5.21
4,2026-05,10672,-0.8,5.35
4,2026-06,8636,-19.1,4.56
5,2025-01,5047,0.0,3.92
5,2025-02,4030,-20.2,3.59
5,2025-03,8416,108.8,3.72
5,2025-04,8334,-1.0,4.32
5,2025-05,7311,-12.3,3.89
5,2025-06,7556,3.4,4.18
5,2025-07,8085,7.0,4.27
5,2025-08,8153,0.8,4.13
5,2025-09,10030,23.0,4.11
5,2025-10,8397,-16.3,3.73
5,2025-11,7321,-12.8,3.79
5,2025-12,8864,21.1,4.3
5,2026-01,4434,-50.0,3.22
5,2026-02,4242,-4.3,3.64
5,2026-03,9039,113.1,3.79
5,2026-04,7924,-12.3,3.84
5,2026-05,7451,-6.0,3.73
5,2026-06,6398,-14.1,3.38
6,2025-01,3036,0.0,2.36
6,2025-02,2648,-12.8,2.36
6,2025-03,5355,102.2,2.37
6,2025-04,4393,-18.0,2.28
6,2025-05,4503,2.5,2.39
6,2025-06,4300,-4.5,2.38
6,2025-07,4375,1.7,2.31
6,2025-08,4303,-1.6,2.18
6,2025-09,5238,21.7,2.15
6,2025-10,5337,1.9,2.37
6,2025-11,4296,-19.5,2.23
6,2025-12,4873,13.4,2.36
6,2026-01,3434,-29.5,2.49
6,2026-02,2597,-24.4,2.23
6,2026-03,5665,118.1,2.38
6,2026-04,4976,-12.2,2.41
6,2026-05,4710,-5.3,2.36
6,2026-06,4840,2.8,2.55
7,2025-01,3386,0.0,2.63
7,2025-02,3397,0.3,3.03
7,2025-03,7247,113.3,3.2
7,2025-04,5378,-25.8,2.79
7,2025-05,5585,3.8,2.97
7,2025-06,5345,-4.3,2.95
7,2025-07,5178,-3.1,2.73
7,2025-08,5920,14.3,3.0
7,2025-09,6484,9.5,2.66
7,2025-10,6926,6.8,3.07
7,2025-11,5747,-17.0,2.98
7,2025-12,7049,22.7,3.42
7,2026-01,3859,-45.3,2.8
7,2026-02,3461,-10.3,2.97
7,2026-03,6693,93.4,2.81
7,2026-04,6004,-10.3,2.91
7,2026-05,6202,3.3,3.11
7,2026-06,5463,-11.9,2.88
8,2025-01,5348,0.0,4.15
8,2025-02,4053,-24.2,3.61
8,2025-03,9403,132.0,4.15
8,2025-04,7182,-23.6,3.73
8,2025-05,7564,5.3,4.02
8,2025-06,7499,-0.9,4.14
8,2025-07,7799,4.0,4.12
8,2025-08,8555,9.7,4.33
8,2025-09,10626,24.2,4.35
8,2025-10,10275,-3.3,4.56
8,2025-11,8203,-20.2,4.25
8,2025-12,8855,7.9,4.3
8,2026-01,5537,-37.5,4.02
8,2026-02,4891,-11.7,4.2
8,2026-03,10551,115.7,4.43
8,2026-04,9448,-10.5,4.57
8,2026-05,9024,-4.5,4.52
8,2026-06,7661,-15.1,4.04
9,2025-01,4114,0.0,3.2
9,2025-02,3845,-6.5,3.43
9,2025-03,8248,114.5,3.64
9,2025-04,6549,-20.6,3.4
9,2025-05,6831,4.3,3.63
9,2025-06,5907,-13.5,3.26
9,2025-07,6652,12.6,3.51
9,2025-08,6755,1.5,3.42
9,2025-09,8884,31.5,3.64
9,2025-10,7442,-16.2,3.3
9,2025-11,7085,-4.8,3.67
9,2025-12,6667,-5.9,3.23
9,2026-01,4785,-28.2,3.47
9,2026-02,3802,-20.5,3.26
9,2026-03,7666,101.6,3.22
9,2026-04,7480,-2.4,3.62
9,2026-05,7085,-5.3,3.55
9,2026-06,7371,4.0,3.89
10,2025-01,4612,0.0,3.58
10,2025-02,4598,-0.3,4.1
10,2025-03,8826,92.0,3.9
10,2025-04,6590,-25.3,3.42
10,2025-05,7350,11.5,3.91
10,2025-06,7384,0.5,4.08
10,2025-07,7719,4.5,4.08
10,2025-08,7765,0.6,3.93
10,2025-09,9822,26.5,4.02
10,2025-10,9109,-7.3,4.04
10,2025-11,7148,-21.5,3.7
10,2025-12,7366,3.0,3.57
10,2026-01,5651,-23.3,4.1
10,2026-02,4234,-25.1,3.63
10,2026-03,9103,115.0,3.82
10,2026-04,8132,-10.7,3.94
10,2026-05,8311,2.2,4.17
10,2026-06,7120,-14.3,3.76
11,2025-01,3256,0.0,2.53
11,2025-02,3199,-1.8,2.85
11,2025-03,5898,84.4,2.61
11,2025-04,5543,-6.0,2.88
11,2025-05,5483,-1.1,2.92
11,2025-06,5048,-7.9,2.79
11,2025-07,5231,3.6,2.76
11,2025-08,5194,-0.7,2.63
11,2025-09,7103,36.8,2.91
11,2025-10,6631,-6.6,2.94
