car_id,brand_id,brand_name,car_name,category,energy_type,price,price_min,price_max,launch_year,sales,range,battery,power,torque,length,width,height,wheelbase,seats,acceleration,max_speed,fuel_consumption,rating,review_count,intelligence_score,comfort_score,space_score,performance_score,image
1,1,比亚迪,秦PLUS,轿车,插电混动,139800,99800,179800,2024,52116,120.0,19.1,132.0,293,4927,1814,1451,2889,5,7.8,194,1.1,4.3,0,9,6.8,7.8,6.1,http://img1.bitautoimg.com/bitauto/2012/04/15/982980a0-c70e-4396-a27f-9a12758b3b0a.jpg
2,1,比亚迪,秦PLUS EV,轿车,纯电动,134800,119800,149800,2024,47650,510.0,73.3,135.0,367,4701,1891,1491,2879,5,6.5,160,,4.6,0,9,7.5,7.0,6.8,http://i2.dd-img.com/upload/2020/0403/1585905766986.jpg
3,1,比亚迪,汉EV,轿车,纯电动,274800,219800,329800,2024,33065,605.0,85.2,180.0,515,4990,1843,1456,2723,5,6.0,176,,4.7,0,10,7.9,9.4,7.3,https://gd-hbimg.huaban.com/bc0838f5d39ad1209cf3ea9a99a87d5fbdfeb8a7d1dc0-RfCy9Y_fw658
4,1,比亚迪,宋PLUS DM-i,SUV,插电混动,174800,149800,199800,2024,40356,110.0,23.7,145.0,392,4882,1937,1780,2858,6,7.1,174,2.2,4.9,0,8,9.0,7.3,7.6,http://s3.xchuxing.com/xchuxing/article/2023/08/10/1f0c3202308102339346666.jpg
5,1,比亚迪,海豹,轿车,纯电动,229800,189800,269800,2024,33488,550.0,75.7,230.0,636,4786,1820,1473,2790,5,6.4,189,,4.5,0,12,8.6,6.6,7.3,https://doc-fd.zol-img.com.cn/t_s2000x2000/g7/M00/00/01/ChMkK2gSYLOIPxAZAA9JTR8kkWgAAr1HwL2TvUAD0ll604.png
6,2,吉利,星瑞,轿车,燃油,131700,113700,149700,2024,32808,0,,140.0,277,4927,1888,1485,2756,5,11.0,163,5.7,3.8,0,11,6.9,6.7,9.3,https://n.sinaimg.cn/sinakd20201013ac/200/w1080h720/20201013/e6d7-kakmcxe3740104.jpg
7,2,吉利,博越L,SUV,燃油,148200,125700,170700,2024,36759,0,,160.0,296,5048,1991,1740,2754,7,10.9,189,7.4,4.0,0,9,7.9,8.6,7.5,https://n.sinaimg.cn/sinakd20114/752/w905h647/20210220/e543-kkciesr8450709.png
8,2,吉利,帝豪L Hi·P,轿车,插电混动,160800,145800,175800,2024,33397,100.0,30.0,135.0,289,4898,1851,1473,2756,5,7.5,163,2.3,4.0,0,8,8.4,8.1,7.3,https://n.sinaimg.cn/sinacn20200107ac/628/w1273h955/20200107/3e26-imvsvyz6110326.jpg
9,2,吉利,银河L7,SUV,插电混动,162200,138700,185700,2024,38628,115.0,27.9,120.0,241,4905,1959,1767,2764,7,7.8,194,2.1,4.6,0,11,7.0,6.6,6.0,https://dm30webimages.geely.com/GeelyPromotion/AYINHE/L7/2024/kv/0301pc.jpg
10,2,吉利,极氪001,轿车,纯电动,319000,269000,369000,2024,16916,741.0,108.5,310.0,932,4969,1892,1466,2828,5,5.2,260,,4.1,0,10,8.1,6.5,8.7,http://n.sinaimg.cn/sinakd20200325ac/500/w1200h900/20200325/128d-irkazzv0596794.jpg
