id,car_id,month,sales,growth_rate
1,1,2025-01,1839,0.0
2,1,2025-02,1783,-3.0
3,1,2025-03,3429,92.3
4,1,2025-04,3384,-1.3
5,1,2025-05,2613,-22.8
6,1,2025-06,2872,9.9
7,1,2025-07,3290,14.6
8,1,2025-08,2647,-19.5
9,1,2025-09,3565,34.7
10,1,2025-10,3531,-1.0
11,1,2025-11,2769,-21.6
12,1,2025-12,2746,-0.8
13,1,2026-01,2542,-7.4
14,1,2026-02,1741,-31.5
15,1,2026-03,4338,149.2
16,1,2026-04,2957,-31.8
17,1,2026-05,2932,-0.8
18,1,2026-06,3138,7.0
19,2,2025-01,1848,0.0
20,2,2025-02,1453,-21.4
21,2,2025-03,2984,105.4
22,2,2025-04,2960,-0.8
23,2,2025-05,2518,-14.9
24,2,2025-06,2635,4.6
25,2,2025-07,2006,-23.9
26,2,2025-08,2703,34.7
27,2,2025-09,3519,30.2
28,2,2025-10,3125,-11.2
29,2,2025-11,2573,-17.7
30,2,2025-12,2743,6.6
31,2,2026-01,2101,-23.4
32,2,2026-02,2110,0.4
33,2,2026-03,2988,41.6
34,2,2026-04,3045,1.9
35,2,2026-05,3360,10.3
36,2,2026-06,2979,-11.3
37,3,2025-01,1249,0.0
38,3,2025-02,1027,-17.8
39,3,2025-03,2181,112.4
40,3,2025-04,1887,-13.5
41,3,2025-05,1346,-28.7
42,3,2025-06,1589,18.1
43,3,2025-07,1405,-11.6
44,3,2025-08,2231,58.8
45,3,2025-09,2635,18.1
46,3,2025-10,2010,-23.7
47,3,2025-11,2135,6.2
48,3,2025-12,2647,24.0
49,3,2026-01,1285,-51.5
50,3,2026-02,1380,7.4
51,3,2026-03,2498,81.0
52,3,2026-04,2040,-18.3
53,3,2026-05,1738,-14.8
54,3,2026-06,1782,2.5
55,4,2025-01,1384,0.0
56,4,2025-02,901,-34.9
57,4,2025-03,2664,195.7
58,4,2025-04,2112,-20.7
59,4,2025-05,2214,4.8
60,4,2025-06,1898,-14.3
61,4,2025-07,2869,51.2
62,4,2025-08,1779,-38.0
63,4,2025-09,2449,37.7
64,4,2025-10,2769,13.1
65,4,2025-11,2873,3.8
66,4,2025-12,2072,-27.9
67,4,2026-01,1948,-6.0
68,4,2026-02,1221,-37.3
69,4,2026-03,3180,160.4
70,4,2026-04,2436,-23.4
71,4,2026-05,2922,20.0
72,4,2026-06,2665,-8.8
73,5,2025-01,1165,0.0
74,5,2025-02,1468,26.0
75,5,2025-03,1884,28.3
76,5,2025-04,1839,-2.4
77,5,2025-05,2220,20.7
78,5,2025-06,1585,-28.6
79,5,2025-07,1693,6.8
80,5,2025-08,1962,15.9
