month,energy_type,sales,percentage,growth_rate
2025-01,燃油,43336,33.66,0.0
2025-02,燃油,38400,34.23,-11.4
2025-03,燃油,75997,33.57,97.9
2025-04,燃油,65955,34.22,-13.2
2025-05,燃油,63846,33.94,-3.2
2025-06,燃油,61792,34.14,-3.2
2025-07,燃油,63964,33.77,3.5
2025-08,燃油,65715,33.3,2.7
2025-09,燃油,83248,34.11,26.7
2025-10,燃油,76525,33.97,-8.1
2025-11,燃油,64574,33.45,-15.6
2025-12,燃油,70362,34.13,9.0
2026-01,燃油,42310,30.71,-39.9
2026-02,燃油,37030,31.78,-12.5
2026-03,燃油,76393,32.07,106.3
2026-04,燃油,66690,32.29,-12.7
2026-05,燃油,64319,32.24,-3.6
2026-06,燃油,59621,31.45,-7.3
2025-01,油电混动,15294,11.88,0.0
2025-02,油电混动,13212,11.78,-13.6
2025-03,油电混动,26165,11.56,98.0
2025-04,油电混动,21298,11.05,-18.6
2025-05,油电混动,20971,11.15,-1.5
2025-06,油电混动,21158,11.69,0.9
2025-07,油电混动,21403,11.3,1.2
2025-08,油电混动,23036,11.67,7.6
2025-09,油电混动,28654,11.74,24.4
2025-10,油电混动,25855,11.48,-9.8
2025-11,油电混动,22479,11.64,-13.1
2025-12,油电混动,24158,11.72,7.5
2026-01,油电混动,15242,11.06,-36.9
2026-02,油电混动,12688,10.89,-16.8
2026-03,油电混动,27472,11.53,116.5
2026-04,油电混动,22501,10.89,-18.1
2026-05,油电混动,21090,10.57,-6.3
2026-06,油电混动,21018,11.09,-0.3
2025-01,插电混动,8440,6.56,0.0
2025-02,插电混动,7630,6.8,-9.6
2025-03,插电混动,14967,6.61,96.2
2025-04,插电混动,14011,7.27,-6.4
2025-05,插电混动,12236,6.51,-12.7
2025-06,插电混动,12186,6.73,-0.4
2025-07,插电混动,13752,7.26,12.9
2025-08,插电混动,13273,6.73,-3.5
2025-09,插电混动,15874,6.5,19.6
2025-10,插电混动,15442,6.85,-2.7
2025-11,插电混动,12630,6.54,-18.2
2025-12,插电混动,13394,6.5,6.0
2026-01,插电混动,11021,8.0,-17.7
2026-02,插电混动,8412,7.22,-23.7
2026-03,插电混动,17575,7.38,108.9
2026-04,插电混动,14101,6.83,-19.8
2026-05,插电混动,13706,6.87,-2.8
2026-06,插电混动,13818,7.29,0.8
2025-01,增程,7579,5.89,0.0
2025-02,增程,7152,6.38,-5.6
2025-03,增程,15722,6.94,119.8
2025-04,增程,11963,6.21,-23.9
2025-05,增程,12740,6.77,6.5
2025-06,增程,10631,5.87,-16.6
2025-07,增程,11221,5.92,5.5
2025-08,增程,12317,6.24,9.8
2025-09,增程,13838,5.67,12.3
2025-10,增程,14101,6.26,1.9
2025-11,增程,12431,6.44,-11.8
2025-12,增程,13202,6.4,6.2
2026-01,增程,8513,6.18,-35.5
2026-02,增程,7207,6.18,-15.3
2026-03,增程,14331,6.02,98.8
2026-04,增程,13158,6.37,-8.2
2026-05,增程,12749,6.39,-3.1
2026-06,增程,12802,6.75,0.4
2025-01,纯电动,54098,42.02,0.0
2025-02,纯电动,45790,40.82,-15.4
2025-03,纯电动,93529,41.32,104.3
2025-04,纯电动,79487,41.25,-15.0
2025-05,纯电动,78296,41.63,-1.5
2025-06,纯电动,75206,41.56,-3.9
2025-07,纯电动,79045,41.74,5.1
2025-08,纯电动,83026,42.07,5.0
2025-09,纯电动,102479,41.98,23.4
2025-10,纯电动,93350,41.44,-8.9
2025-11,纯电动,80938,41.93,-13.3
2025-12,纯电动,85029,41.25,5.1
2026-01,纯电动,60681,44.05,-28.6
2026-02,纯电动,51199,43.93,-15.6
2026-03,纯电动,102416,43.0,100.0
2026-04,纯电动,90085,43.62,-12.0
2026-05,纯电动,87644,43.93,-2.7
2026-06,纯电动,82299,43.42,-6.1
