inventory_id,car_id,city,stock,updated_at
1,38,西安,79,2026-06-29 00:00:00
2,59,天津,29,2026-06-29 00:00:00
3,79,北京,4,2026-06-28 00:00:00
4,27,大连,8,2026-06-23 00:00:00
5,102,沈阳,60,2026-06-17 00:00:00
6,74,大连,8,2026-06-27 00:00:00
7,109,苏州,22,2026-06-09 00:00:00
8,66,西安,46,2026-06-09 00:00:00
9,68,长沙,6,2026-06-27 00:00:00
10,137,重庆,68,2026-06-29 00:00:00
11,93,广州,60,2026-06-20 00:00:00
12,56,沈阳,70,2026-06-04 00:00:00
13,4,天津,30,2026-06-21 00:00:00
14,32,杭州,68,2026-06-15 00:00:00
15,129,大连,32,2026-06-28 00:00:00
16,138,郑州,79,2026-06-19 00:00:00
17,149,长沙,75,2026-06-17 00:00:00
18,132,杭州,76,2026-06-02 00:00:00
19,79,天津,61,2026-06-19 00:00:00
20,35,青岛,13,2026-06-09 00:00:00
21,116,杭州,32,2026-06-13 00:00:00
22,60,上海,11,2026-06-28 00:00:00
23,139,郑州,32,2026-06-06 00:00:00
24,69,杭州,26,2026-06-27 00:00:00
25,143,武汉,75,2026-06-15 00:00:00
26,42,大连,30,2026-06-08 00:00:00
27,146,深圳,19,2026-06-04 00:00:00
28,141,青岛,3,2026-06-13 00:00:00
29,41,福州,26,2026-06-06 00:00:00
30,133,大连,6,2026-06-23 00:00:00
31,148,厦门,27,2026-06-06 00:00:00
32,38,深圳,5,2026-06-27 00:00:00
33,30,北京,23,2026-06-08 00:00:00
34,45,北京,2,2026-06-03 00:00:00
35,134,郑州,59,2026-06-14 00:00:00
36,98,深圳,5,2026-06-30 00:00:00
37,8,大连,80,2026-06-20 00:00:00
38,143,青岛,49,2026-06-04 00:00:00
39,3,厦门,10,2026-06-27 00:00:00
40,76,重庆,47,2026-06-13 00:00:00
41,24,南京,7,2026-06-30 00:00:00
42,61,厦门,37,2026-06-30 00:00:00
43,82,武汉,10,2026-06-19 00:00:00
44,131,上海,61,2026-06-09 00:00:00
45,108,厦门,17,2026-06-07 00:00:00
46,81,南京,52,2026-06-28 00:00:00
47,81,深圳,4,2026-06-01 00:00:00
48,51,北京,58,2026-06-27 00:00:00
49,104,成都,0,2026-06-12 00:00:00
50,72,天津,75,2026-06-13 00:00:00
51,113,广州,42,2026-06-01 00:00:00
52,12,长沙,55,2026-06-29 00:00:00
53,100,长沙,34,2026-06-03 00:00:00
54,19,北京,50,2026-06-30 00:00:00
55,95,南京,11,2026-06-23 00:00:00
56,24,武汉,36,2026-06-01 00:00:00
57,115,厦门,41,2026-06-04 00:00:00
58,103,济南,75,2026-06-09 00:00:00
59,121,上海,66,2026-06-20 00:00:00
60,4,苏州,71,2026-06-25 00:00:00
61,50,长沙,53,2026-06-18 00:00:00
62,52,南京,70,2026-06-05 00:00:00
63,97,厦门,72,2026-06-19 00:00:00
64,104,成都,49,2026-06-20 00:00:00
65,118,北京,67,2026-06-08 00:00:00
66,139,长沙,71,2026-06-18 00:00:00
67,134,福州,15,2026-06-16 00:00:00
68,136,青岛,78,2026-06-03 00:00:00
69,94,北京,47,2026-06-26 00:00:00
70,110,成都,46,2026-06-15 00:00:00
71,20,福州,58,2026-06-29 00:00:00
72,97,北京,76,2026-06-08 00:00:00
73,33,北京,11,2026-06-05 00:00:00
74,111,苏州,58,2026-06-28 00:00:00
75,134,福州,71,2026-06-27 00:00:00
76,48,郑州,1,2026-06-10 00:00:00
77,21,厦门,0,2026-06-25 00:00:00
78,147,苏州,17,2026-07-01 00:00:00
79,19,沈阳,46,2026-06-11 00:00:00
80,131,天津,15,2026-06-15 00:00:00
81,125,沈阳,37,2026-06-23 00:00:00
82,24,杭州,62,2026-06-10 00:00:00
83,99,济南,23,2026-06-26 00:00:00
84,20,深圳,69,2026-06-22 00:00:00
85,142,杭州,35,2026-06-03 00:00:00
86,104,杭州,55,2026-06-09 00:00:00
87,46,成都,18,2026-06-20 00:00:00
88,123,天津,65,2026-06-19 00:00:00
89,20,沈阳,6,2026-06-26 00:00:00
90,68,苏州,34,2026-06-30 00:00:00
91,34,深圳,70,2026-06-12 00:00:00
92,76,苏州,62,2026-06-27 00:00:00
93,12,天津,55,2026-06-25 00:00:00
94,130,杭州,0,2026-06-28 00:00:00
95,148,杭州,16,2026-06-28 00:00:00
96,94,青岛,0,2026-06-23 00:00:00
97,148,北京,6,2026-06-03 00:00:00
98,103,武汉,43,2026-06-14 00:00:00
99,71,上海,58,2026-06-06 00:00:00
100,55,杭州,35,2026-06-28 00:00:00
