order_id,user_id,car_id,amount,status,created_at
1,1,69,289900,pending,2025-12-30 00:00:00
2,4,31,349800,completed,2025-04-01 00:00:00
3,10,109,2088000,pending,2025-12-30 00:00:00
4,7,12,167400,cancelled,2025-09-12 00:00:00
5,3,125,1198000,completed,2025-08-18 00:00:00
6,6,97,428000,completed,2025-04-20 00:00:00
7,8,149,299800,cancelled,2025-07-06 00:00:00
8,5,12,167400,cancelled,2025-10-17 00:00:00
9,10,97,428000,cancelled,2025-09-12 00:00:00
10,5,110,549800,pending,2025-09-30 00:00:00
11,8,131,204800,completed,2025-06-05 00:00:00
12,2,114,729900,pending,2025-06-06 00:00:00
13,9,87,214800,pending,2026-01-31 00:00:00
14,3,41,294800,completed,2025-09-06 00:00:00
15,7,71,1398000,paid,2025-01-01 00:00:00
16,9,147,119800,paid,2025-09-30 00:00:00
17,9,103,233900,paid,2025-02-12 00:00:00
18,7,36,236900,completed,2026-02-09 00:00:00
19,8,39,389900,cancelled,2025-03-11 00:00:00
20,7,6,131700,pending,2025-04-02 00:00:00
21,5,19,365000,paid,2025-04-26 00:00:00
22,10,64,74800,completed,2025-06-17 00:00:00
23,4,105,240900,pending,2025-08-27 00:00:00
24,4,122,1348000,cancelled,2025-01-01 00:00:00
25,6,48,219000,paid,2025-02-14 00:00:00
26,5,83,217800,pending,2026-02-15 00:00:00
27,6,6,131700,paid,2026-01-04 00:00:00
28,5,78,227800,cancelled,2025-05-29 00:00:00
29,5,32,369800,pending,2026-03-16 00:00:00
30,6,9,162200,paid,2025-10-24 00:00:00
31,5,8,160800,cancelled,2026-02-16 00:00:00
32,2,121,848000,cancelled,2025-03-08 00:00:00
33,9,33,444800,completed,2025-02-12 00:00:00
34,9,139,309800,pending,2026-02-15 00:00:00
35,8,142,124800,paid,2025-04-10 00:00:00
36,5,21,122900,cancelled,2025-10-05 00:00:00
37,7,133,254800,pending,2025-08-20 00:00:00
38,6,48,219000,cancelled,2026-01-21 00:00:00
39,5,140,279900,cancelled,2025-09-12 00:00:00
40,10,102,209900,cancelled,2025-11-16 00:00:00
41,9,98,692000,completed,2025-04-03 00:00:00
42,6,88,239900,completed,2025-11-18 00:00:00
43,1,29,587000,pending,2025-05-19 00:00:00
44,10,47,264000,pending,2026-05-05 00:00:00
45,6,64,74800,cancelled,2025-02-15 00:00:00
46,6,30,402000,pending,2026-05-01 00:00:00
47,2,109,2088000,pending,2025-08-21 00:00:00
48,10,138,219800,cancelled,2025-08-01 00:00:00
49,7,81,209800,paid,2026-02-25 00:00:00
50,3,26,323300,completed,2025-12-02 00:00:00
51,6,15,92400,cancelled,2026-05-13 00:00:00
52,1,13,169400,pending,2025-11-05 00:00:00
53,3,77,137300,completed,2025-07-03 00:00:00
54,1,76,208300,cancelled,2026-01-20 00:00:00
55,5,143,194800,cancelled,2026-03-18 00:00:00
56,8,106,348800,pending,2025-12-01 00:00:00
57,7,68,564900,paid,2025-01-15 00:00:00
58,5,81,209800,cancelled,2026-01-08 00:00:00
59,8,114,729900,completed,2025-01-30 00:00:00
60,10,116,367800,completed,2025-11-23 00:00:00
61,4,50,789000,pending,2026-03-12 00:00:00
62,3,63,179800,completed,2025-09-22 00:00:00
63,7,98,692000,paid,2025-07-08 00:00:00
64,7,87,214800,completed,2025-02-25 00:00:00
65,2,102,209900,completed,2025-12-22 00:00:00
66,4,14,183900,pending,2026-03-12 00:00:00
67,3,48,219000,pending,2025-06-29 00:00:00
68,3,76,208300,paid,2026-04-08 00:00:00
69,7,123,1688000,cancelled,2025-11-15 00:00:00
70,7,35,299800,completed,2025-03-10 00:00:00
71,7,8,160800,pending,2025-03-22 00:00:00
72,3,72,1830000,pending,2025-04-05 00:00:00
73,6,129,947900,completed,2026-06-14 00:00:00
74,7,16,129350,pending,2025-01-16 00:00:00
75,2,122,1348000,cancelled,2026-05-08 00:00:00
76,8,144,144800,paid,2025-07-20 00:00:00
77,2,45,534800,completed,2026-03-31 00:00:00
78,1,70,364900,cancelled,2025-05-19 00:00:00
79,7,68,564900,paid,2026-03-12 00:00:00
80,2,38,256900,pending,2025-06-18 00:00:00
81,1,53,365000,completed,2025-08-23 00:00:00
82,8,88,239900,paid,2026-03-17 00:00:00
83,6,99,368000,pending,2026-04-18 00:00:00
84,9,90,307800,paid,2026-01-13 00:00:00
85,5,132,144800,paid,2025-11-14 00:00:00
86,3,32,369800,paid,2026-05-31 00:00:00
87,6,65,154800,completed,2025-10-02 00:00:00
88,1,9,162200,cancelled,2025-09-18 00:00:00
89,5,95,288800,completed,2026-04-24 00:00:00
90,6,38,256900,paid,2025-03-20 00:00:00
91,2,36,236900,paid,2025-06-07 00:00:00
92,8,74,748000,cancelled,2025-03-28 00:00:00
93,8,113,514900,cancelled,2025-07-31 00:00:00
94,4,76,208300,paid,2026-05-17 00:00:00
95,3,8,160800,paid,2026-01-24 00:00:00
96,3,19,365000,cancelled,2025-12-29 00:00:00
97,1,139,309800,pending,2025-03-10 00:00:00
98,10,100,382000,paid,2025-02-12 00:00:00
99,5,85,309800,paid,2025-02-03 00:00:00
100,7,59,129800,completed,2026-05-31 00:00:00
