region,month,sales,growth_rate,market_share
北京,2025-07,8694,0.0,4.59
北京,2025-08,9067,4.3,4.59
北京,2025-09,13140,44.9,5.38
北京,2025-10,9312,-29.1,4.13
北京,2025-11,8324,-10.6,4.31
北京,2025-12,6405,-23.1,3.11
北京,2026-01,5339,-16.6,3.88
北京,2026-02,5151,-3.5,4.42
北京,2026-03,9620,86.8,4.04
北京,2026-04,7651,-20.5,3.7
北京,2026-05,10315,34.8,5.17
北京,2026-06,10024,-2.8,5.29
天津,2025-07,4315,0.0,2.28
天津,2025-08,5434,25.9,2.75
天津,2025-09,6197,14.0,2.54
天津,2025-10,7473,20.6,3.32
天津,2025-11,5424,-27.4,2.81
天津,2025-12,6094,12.4,2.96
天津,2026-01,3213,-47.3,2.33
天津,2026-02,3791,18.0,3.25
天津,2026-03,6172,62.8,2.59
天津,2026-04,7169,16.2,3.47
天津,2026-05,6300,-12.1,3.16
天津,2026-06,4640,-26.3,2.45
河北,2025-07,7920,0.0,4.18
河北,2025-08,7929,0.1,4.02
河北,2025-09,9146,15.3,3.75
河北,2025-10,9713,6.2,4.31
河北,2025-11,7454,-23.3,3.86
河北,2025-12,8023,7.6,3.89
河北,2026-01,4833,-39.8,3.51
河北,2026-02,4012,-17.0,3.44
河北,2026-03,9338,132.8,3.92
河北,2026-04,8219,-12.0,3.98
河北,2026-05,8980,9.3,4.5
河北,2026-06,5854,-34.8,3.09
山西,2025-07,5225,0.0,2.76
山西,2025-08,6635,27.0,3.36
山西,2025-09,5949,-10.3,2.44
山西,2025-10,5155,-13.3,2.29
山西,2025-11,4509,-12.5,2.34
山西,2025-12,6257,38.8,3.04
山西,2026-01,3027,-51.6,2.2
山西,2026-02,3171,4.8,2.72
山西,2026-03,5813,83.3,2.44
山西,2026-04,5119,-11.9,2.48
山西,2026-05,5164,0.9,2.59
山西,2026-06,4854,-6.0,2.56
内蒙古,2025-07,3467,0.0,1.83
内蒙古,2025-08,3793,9.4,1.92
内蒙古,2025-09,4921,29.7,2.02
内蒙古,2025-10,4068,-17.3,1.81
内蒙古,2025-11,4005,-1.5,2.07
内蒙古,2025-12,3707,-7.4,1.8
内蒙古,2026-01,2488,-32.9,1.81
内蒙古,2026-02,2272,-8.7,1.95
内蒙古,2026-03,3427,50.8,1.44
内蒙古,2026-04,3509,2.4,1.7
内蒙古,2026-05,3479,-0.9,1.74
内蒙古,2026-06,3109,-10.6,1.64
辽宁,2025-07,6376,0.0,3.37
辽宁,2025-08,6127,-3.9,3.1
辽宁,2025-09,7351,20.0,3.01
辽宁,2025-10,9055,23.2,4.02
辽宁,2025-11,8837,-2.4,4.58
辽宁,2025-12,8263,-6.5,4.01
辽宁,2026-01,5020,-39.2,3.64
辽宁,2026-02,4750,-5.4,4.08
辽宁,2026-03,8700,83.2,3.65
辽宁,2026-04,6922,-20.4,3.35
辽宁,2026-05,7075,2.2,3.55
辽宁,2026-06,6279,-11.3,3.31
吉林,2025-07,2947,0.0,1.56
吉林,2025-08,4010,36.1,2.03
吉林,2025-09,4970,23.9,2.04
吉林,2025-10,5618,13.0,2.49
吉林,2025-11,4165,-25.9,2.16
吉林,2025-12,3499,-16.0,1.7
吉林,2026-01,3190,-8.8,2.32
吉林,2026-02,2826,-11.4,2.43
吉林,2026-03,6178,118.6,2.59
吉林,2026-04,5065,-18.0,2.45
吉林,2026-05,6303,24.4,3.16
吉林,2026-06,3834,-39.2,2.02
黑龙江,2025-07,5274,0.0,2.78
黑龙江,2025-08,5224,-0.9,2.65
黑龙江,2025-09,5135,-1.7,2.1
黑龙江,2025-10,5138,0.1,2.28
黑龙江,2025-11,3987,-22.4,2.07
黑龙江,2025-12,4704,18.0,2.28
黑龙江,2026-01,2990,-36.4,2.17
黑龙江,2026-02,2529,-15.4,2.17
黑龙江,2026-03,5534,118.8,2.32
黑龙江,2026-04,4056,-26.7,1.96
黑龙江,2026-05,5422,33.7,2.72
黑龙江,2026-06,4988,-8.0,2.63
上海,2025-07,7232,0.0,3.82
上海,2025-08,9503,31.4,4.81
上海,2025-09,8765,-7.8,3.59
上海,2025-10,7034,-19.7,3.12
上海,2025-11,8619,22.5,4.46
上海,2025-12,9509,10.3,4.61
上海,2026-01,5222,-45.1,3.79
上海,2026-02,5360,2.6,4.6
上海,2026-03,13141,145.2,5.52
上海,2026-04,12784,-2.7,6.19
上海,2026-05,7392,-42.2,3.71
上海,2026-06,8477,14.7,4.47
江苏,2025-07,8382,0.0,4.43
江苏,2025-08,15258,82.0,7.73
江苏,2025-09,12379,-18.9,5.07
江苏,2025-10,13801,11.5,6.13
江苏,2025-11,10624,-23.0,5.5
江苏,2025-12,9412,-11.4,4.57
江苏,2026-01,7243,-23.0,5.26
江苏,2026-02,5039,-30.4,4.32
江苏,2026-03,11684,131.9,4.91
江苏,2026-04,10756,-7.9,5.21
江苏,2026-05,11191,4.0,5.61
江苏,2026-06,6781,-39.4,3.58
浙江,2025-07,10175,0.0,5.37
浙江,2025-08,14811,45.6,7.5
浙江,2025-09,11354,-23.3,4.65
浙江,2025-10,12821,12.9,5.69
浙江,2025-11,9810,-23.5,5.08
浙江,2025-12,6450,-34.3,3.13
浙江,2026-01,6359,-1.4,4.62
浙江,2026-02,5675,-10.8,4.87
浙江,2026-03,14566,156.7,6.12
浙江,2026-04,11148,-23.5,5.4
浙江,2026-05,10468,-6.1,5.25
浙江,2026-06,11324,8.2,5.97
安徽,2025-07,6734,0.0,3.56
安徽,2025-08,6714,-0.3,3.4
安徽,2025-09,9368,39.5,3.84
安徽,2025-10,6236,-33.4,2.77
安徽,2025-11,6526,4.7,3.38
安徽,2025-12,8543,30.9,4.14
安徽,2026-01,3263,-61.8,2.37
安徽,2026-02,3583,9.8,3.07
安徽,2026-03,8503,137.3,3.57
安徽,2026-04,7452,-12.4,3.61
安徽,2026-05,6608,-11.3,3.31
安徽,2026-06,7038,6.5,3.71
福建,2025-07,5727,0.0,3.02
福建,2025-08,7896,37.9,4.0
福建,2025-09,8763,11.0,3.59
福建,2025-10,9998,14.1,4.44
福建,2025-11,7589,-24.1,3.93
福建,2025-12,7786,2.6,3.78
福建,2026-01,5826,-25.2,4.23
福建,2026-02,3575,-38.6,3.07
福建,2026-03,7943,122.2,3.33
福建,2026-04,5313,-33.1,2.57
福建,2026-05,7868,48.1,3.94
福建,2026-06,8253,4.9,4.35
江西,2025-07,5444,0.0,2.87
江西,2025-08,5002,-8.1,2.53
江西,2025-09,8845,76.8,3.62
江西,2025-10,6212,-29.8,2.76
江西,2025-11,5533,-10.9,2.87
江西,2025-12,7868,42.2,3.82
江西,2026-01,4041,-48.6,2.93
江西,2026-02,3512,-13.1,3.01
江西,2026-03,9171,161.1,3.85
江西,2026-04,6971,-24.0,3.38
江西,2026-05,5198,-25.4,2.61
江西,2026-06,7204,38.6,3.8
山东,2025-07,7050,0.0,3.72
山东,2025-08,11447,62.4,5.8
山东,2025-09,13203,15.3,5.41
山东,2025-10,10459,-20.8,4.64
山东,2025-11,8590,-17.9,4.45
山东,2025-12,8653,0.7,4.2
山东,2026-01,8742,1.0,6.35
山东,2026-02,5981,-31.6,5.13
山东,2026-03,10866,81.7,4.56
山东,2026-04,11302,4.0,5.47
山东,2026-05,11869,5.0,5.95
山东,2026-06,10008,-15.7,5.28
河南,2025-07,9729,0.0,5.14
河南,2025-08,10493,7.9,5.32
河南,2025-09,11453,9.1,4.69
河南,2025-10,10975,-4.2,4.87
河南,2025-11,8823,-19.6,4.57
河南,2025-12,8160,-7.5,3.96
河南,2026-01,5189,-36.4,3.77
河南,2026-02,5786,11.5,4.96
河南,2026-03,9901,71.1,4.16
河南,2026-04,9575,-3.3,4.64
河南,2026-05,8934,-6.7,4.48
河南,2026-06,10099,13.0,5.33
湖北,2025-07,7648,0.0,4.04
湖北,2025-08,8001,4.6,4.05
湖北,2025-09,9054,13.2,3.71
湖北,2025-10,8550,-5.6,3.8
湖北,2025-11,7101,-16.9,3.68
湖北,2025-12,8289,16.7,4.02
湖北,2026-01,3958,-52.2,2.87
湖北,2026-02,4503,13.8,3.86
湖北,2026-03,9741,116.3,4.09
湖北,2026-04,8477,-13.0,4.1
湖北,2026-05,6483,-23.5,3.25
湖北,2026-06,6883,6.2,3.63
湖南,2025-07,6921,0.0,3.65
湖南,2025-08,7030,1.6,3.56
湖南,2025-09,7734,10.0,3.17
湖南,2025-10,7308,-5.5,3.24
湖南,2025-11,7492,2.5,3.88
湖南,2025-12,8452,12.8,4.1
湖南,2026-01,5458,-35.4,3.96
湖南,2026-02,3926,-28.1,3.37
湖南,2026-03,9765,148.7,4.1
湖南,2026-04,7766,-20.5,3.76
湖南,2026-05,7158,-7.8,3.59
湖南,2026-06,6327,-11.6,3.34
广东,2025-07,10847,0.0,5.73
广东,2025-08,13556,25.0,6.87
广东,2025-09,14719,8.6,6.03
广东,2025-10,13712,-6.8,6.09
广东,2025-11,10174,-25.8,5.27
广东,2025-12,18135,78.2,8.8
广东,2026-01,5641,-68.9,4.09
广东,2026-02,5028,-10.9,4.31
广东,2026-03,13608,170.6,5.71
广东,2026-04,13191,-3.1,6.39
广东,2026-05,15664,18.7,7.85
广东,2026-06,12661,-19.2,6.68
广西,2025-07,5370,0.0,2.84
广西,2025-08,6093,13.5,3.09
广西,2025-09,6717,10.2,2.75
广西,2025-10,4319,-35.7,1.92
广西,2025-11,5438,25.9,2.82
广西,2025-12,5775,6.2,2.8
广西,2026-01,4954,-14.2,3.6
广西,2026-02,2819,-43.1,2.42
广西,2026-03,7681,172.5,3.22
广西,2026-04,4460,-41.9,2.16
广西,2026-05,6657,49.3,3.34
广西,2026-06,5245,-21.2,2.77
海南,2025-07,3304,0.0,1.74
海南,2025-08,3382,2.4,1.71
海南,2025-09,4169,23.3,1.71
海南,2025-10,3543,-15.0,1.57
海南,2025-11,2698,-23.8,1.4
海南,2025-12,3119,15.6,1.51
海南,2026-01,1890,-39.4,1.37
海南,2026-02,1776,-6.0,1.52
海南,2026-03,2801,57.7,1.18
海南,2026-04,3284,17.2,1.59
海南,2026-05,3546,8.0,1.78
海南,2026-06,3468,-2.2,1.83
重庆,2025-07,7029,0.0,3.71
重庆,2025-08,6259,-11.0,3.17
重庆,2025-09,7393,18.1,3.03
重庆,2025-10,6717,-9.1,2.98
重庆,2025-11,6338,-5.6,3.28
重庆,2025-12,7079,11.7,3.43
重庆,2026-01,4488,-36.6,3.26
重庆,2026-02,2884,-35.7,2.47
重庆,2026-03,8912,209.0,3.74
重庆,2026-04,6862,-23.0,3.32
重庆,2026-05,7105,3.5,3.56
重庆,2026-06,5923,-16.6,3.12
四川,2025-07,8463,0.0,4.47
四川,2025-08,11847,40.0,6.0
四川,2025-09,9531,-19.5,3.9
四川,2025-10,7824,-17.9,3.47
四川,2025-11,11667,49.1,6.04
四川,2025-12,9933,-14.9,4.82
四川,2026-01,5996,-39.6,4.35
四川,2026-02,4944,-17.5,4.24
四川,2026-03,7744,56.6,3.25
四川,2026-04,12296,58.8,5.95
四川,2026-05,10261,-16.6,5.14
四川,2026-06,9491,-7.5,5.01
贵州,2025-07,4949,0.0,2.61
贵州,2025-08,3960,-20.0,2.01
贵州,2025-09,6066,53.2,2.49
贵州,2025-10,6092,0.4,2.7
贵州,2025-11,3004,-50.7,1.56
贵州,2025-12,5222,73.8,2.53
贵州,2026-01,3562,-31.8,2.59
贵州,2026-02,2751,-22.8,2.36
贵州,2026-03,4803,74.6,2.02
贵州,2026-04,4683,-2.5,2.27
贵州,2026-05,4320,-7.8,2.17
贵州,2026-06,4648,7.6,2.45
云南,2025-07,4728,0.0,2.5
云南,2025-08,5968,26.2,3.02
云南,2025-09,6107,2.3,2.5
云南,2025-10,5635,-7.7,2.5
云南,2025-11,6155,9.2,3.19
云南,2025-12,5458,-11.3,2.65
云南,2026-01,4035,-26.1,2.93
云南,2026-02,2546,-36.9,2.18
云南,2026-03,7936,211.7,3.33
云南,2026-04,4383,-44.8,2.12
云南,2026-05,5491,25.3,2.75
云南,2026-06,4969,-9.5,2.62
西藏,2025-07,1300,0.0,0.69
西藏,2025-08,1467,12.8,0.74
西藏,2025-09,2242,52.8,0.92
西藏,2025-10,2201,-1.8,0.98
西藏,2025-11,1443,-34.4,0.75
西藏,2025-12,1512,4.8,0.73
西藏,2026-01,767,-49.3,0.56
西藏,2026-02,1135,48.0,0.97
西藏,2026-03,1551,36.7,0.65
西藏,2026-04,1382,-10.9,0.67
西藏,2026-05,1570,13.6,0.79
西藏,2026-06,1631,3.9,0.86
陕西,2025-07,7214,0.0,3.81
陕西,2025-08,8116,12.5,4.11
陕西,2025-09,8424,3.8,3.45
陕西,2025-10,6482,-23.1,2.88
陕西,2025-11,5396,-16.8,2.8
陕西,2025-12,6220,15.3,3.02
陕西,2026-01,4787,-23.0,3.47
陕西,2026-02,4131,-13.7,3.54
陕西,2026-03,8069,95.3,3.39
陕西,2026-04,4584,-43.2,2.22
陕西,2026-05,5660,23.5,2.84
陕西,2026-06,7162,26.5,3.78
甘肃,2025-07,3376,0.0,1.78
甘肃,2025-08,3778,11.9,1.91
甘肃,2025-09,6665,76.4,2.73
甘肃,2025-10,4317,-35.2,1.92
甘肃,2025-11,4540,5.2,2.35
甘肃,2025-12,5096,12.2,2.47
甘肃,2026-01,2973,-41.7,2.16
甘肃,2026-02,2111,-29.0,1.81
甘肃,2026-03,3037,43.9,1.28
甘肃,2026-04,3486,14.8,1.69
甘肃,2026-05,4239,21.6,2.12
甘肃,2026-06,3999,-5.7,2.11
青海,2025-07,2589,0.0,1.37
青海,2025-08,1914,-26.1,0.97
青海,2025-09,2923,52.7,1.2
青海,2025-10,1813,-38.0,0.8
青海,2025-11,1947,7.4,1.01
青海,2025-12,2587,32.9,1.25
青海,2026-01,1077,-58.4,0.78
青海,2026-02,1521,41.2,1.31
青海,2026-03,3530,132.1,1.48
青海,2026-04,1884,-46.6,0.91
青海,2026-05,2229,18.3,1.12
青海,2026-06,2772,24.4,1.46
宁夏,2025-07,3156,0.0,1.67
宁夏,2025-08,3242,2.7,1.64
宁夏,2025-09,3845,18.6,1.58
宁夏,2025-10,2773,-27.9,1.23
宁夏,2025-11,2931,5.7,1.52
宁夏,2025-12,3812,30.1,1.85
宁夏,2026-01,2163,-43.3,1.57
宁夏,2026-02,2002,-7.4,1.72
宁夏,2026-03,3492,74.4,1.47
宁夏,2026-04,2783,-20.3,1.35
宁夏,2026-05,2893,4.0,1.45
宁夏,2026-06,2474,-14.5,1.31
新疆,2025-07,2920,0.0,1.54
新疆,2025-08,3813,30.6,1.93
新疆,2025-09,4568,19.8,1.87
新疆,2025-10,3749,-17.9,1.66
新疆,2025-11,4131,10.2,2.14
新疆,2025-12,3436,-16.8,1.67
新疆,2026-01,2840,-17.3,2.06
新疆,2026-02,2427,-14.5,2.08
新疆,2026-03,5769,137.7,2.42
新疆,2026-04,4207,-27.1,2.04
新疆,2026-05,4324,2.8,2.17
新疆,2026-06,3714,-14.1,1.96
