log_id,user_id,action,module,description,ip,created_at
1,8,view_car,car,查看车型详情,192.168.129.42,2026-03-14 19:00:00
2,6,compare,car,车型对比,192.168.2.15,2025-07-16 15:00:00
3,9,order_create,order,创建订单,192.168.47.42,2026-05-19 08:00:00
4,8,search,search,搜索车型,192.168.24.35,2026-01-01 02:00:00
5,7,order_create,order,创建订单,192.168.237.239,2025-12-09 00:00:00
6,8,logout,auth,用户登出,192.168.16.202,2025-11-27 17:00:00
7,1,logout,auth,用户登出,192.168.30.148,2025-12-08 00:00:00
8,10,view_car,car,查看车型详情,192.168.217.119,2025-07-26 21:00:00
9,2,view_dashboard,dashboard,查看仪表盘,192.168.48.110,2025-07-12 23:00:00
10,1,view_dashboard,dashboard,查看仪表盘,192.168.59.243,2026-01-12 01:00:00
11,10,view_car,car,查看车型详情,192.168.52.12,2025-06-17 14:00:00
12,2,view_prediction,ml,查看销量预测,192.168.152.81,2026-05-15 00:00:00
13,1,view_review,review,查看评价,192.168.66.232,2026-05-25 20:00:00
14,2,order_create,order,创建订单,192.168.147.202,2025-11-07 17:00:00
15,6,compare,car,车型对比,192.168.59.208,2026-04-27 04:00:00
16,10,order_create,order,创建订单,192.168.120.106,2026-03-31 17:00:00
17,10,search,search,搜索车型,192.168.222.220,2025-12-29 11:00:00
18,3,export,data,导出数据,192.168.66.72,2026-01-28 03:00:00
19,7,logout,auth,用户登出,192.168.246.160,2026-02-19 04:00:00
20,8,search,search,搜索车型,192.168.207.80,2026-03-03 02:00:00
21,4,logout,auth,用户登出,192.168.10.67,2025-11-18 01:00:00
22,3,view_dashboard,dashboard,查看仪表盘,192.168.199.144,2026-05-06 19:00:00
23,7,search,search,搜索车型,192.168.176.47,2025-07-06 14:00:00
24,5,search,search,搜索车型,192.168.249.226,2025-12-02 14:00:00
25,5,order_create,order,创建订单,192.168.196.226,2025-10-02 10:00:00
26,3,view_prediction,ml,查看销量预测,192.168.136.16,2025-12-25 08:00:00
27,9,view_prediction,ml,查看销量预测,192.168.10.191,2026-01-06 14:00:00
28,4,export,data,导出数据,192.168.141.57,2025-10-07 09:00:00
29,9,order_create,order,创建订单,192.168.50.141,2025-11-03 05:00:00
30,6,search,search,搜索车型,192.168.98.236,2026-04-19 09:00:00
31,7,view_car,car,查看车型详情,192.168.139.13,2025-11-17 10:00:00
32,1,view_review,review,查看评价,192.168.209.114,2025-10-20 22:00:00
33,1,view_prediction,ml,查看销量预测,192.168.93.115,2026-04-14 10:00:00
34,6,logout,auth,用户登出,192.168.94.246,2025-12-21 05:00:00
35,4,export,data,导出数据,192.168.47.187,2025-06-05 19:00:00
36,1,order_create,order,创建订单,192.168.240.86,2025-11-14 03:00:00
37,1,view_review,review,查看评价,192.168.162.180,2025-11-06 23:00:00
38,1,export,data,导出数据,192.168.27.228,2025-09-28 03:00:00
39,2,logout,auth,用户登出,192.168.119.200,2026-02-15 12:00:00
40,2,export,data,导出数据,192.168.253.176,2025-06-10 04:00:00
41,6,compare,car,车型对比,192.168.181.242,2026-01-14 21:00:00
42,7,login,auth,用户登录,192.168.176.180,2025-08-30 05:00:00
43,1,view_prediction,ml,查看销量预测,192.168.184.159,2025-12-07 07:00:00
44,6,compare,car,车型对比,192.168.179.241,2025-07-13 21:00:00
45,3,login,auth,用户登录,192.168.229.22,2026-05-08 04:00:00
46,3,view_review,review,查看评价,192.168.231.81,2026-03-17 11:00:00
47,1,login,auth,用户登录,192.168.41.221,2025-12-31 22:00:00
48,1,logout,auth,用户登出,192.168.82.29,2025-11-20 06:00:00
49,3,view_dashboard,dashboard,查看仪表盘,192.168.248.205,2026-05-02 21:00:00
50,10,compare,car,车型对比,192.168.113.163,2026-04-13 10:00:00
51,1,view_review,review,查看评价,192.168.73.12,2026-02-08 03:00:00
52,8,search,search,搜索车型,192.168.217.34,2026-01-24 19:00:00
53,9,login,auth,用户登录,192.168.239.91,2026-05-29 23:00:00
54,10,view_dashboard,dashboard,查看仪表盘,192.168.165.8,2025-09-27 21:00:00
55,2,login,auth,用户登录,192.168.3.252,2025-12-19 09:00:00
56,10,search,search,搜索车型,192.168.249.78,2025-06-07 06:00:00
57,10,logout,auth,用户登出,192.168.1.72,2025-11-26 04:00:00
58,1,search,search,搜索车型,192.168.110.12,2026-02-15 19:00:00
59,5,logout,auth,用户登出,192.168.19.139,2025-11-01 20:00:00
60,10,logout,auth,用户登出,192.168.245.57,2026-05-01 10:00:00
61,10,export,data,导出数据,192.168.229.45,2026-03-07 11:00:00
62,6,search,search,搜索车型,192.168.233.96,2026-05-18 18:00:00
63,6,view_car,car,查看车型详情,192.168.12.93,2025-12-16 02:00:00
64,1,login,auth,用户登录,192.168.105.247,2026-02-05 18:00:00
65,10,login,auth,用户登录,192.168.165.5,2025-12-21 18:00:00
66,7,order_create,order,创建订单,192.168.16.19,2026-03-07 12:00:00
67,8,view_review,review,查看评价,192.168.68.12,2026-05-23 07:00:00
68,8,order_create,order,创建订单,192.168.69.178,2026-05-15 04:00:00
69,4,search,search,搜索车型,192.168.146.218,2025-10-26 09:00:00
70,10,view_dashboard,dashboard,查看仪表盘,192.168.221.58,2025-06-11 00:00:00
71,7,view_review,review,查看评价,192.168.118.97,2025-08-20 10:00:00
72,6,login,auth,用户登录,192.168.56.42,2026-04-21 11:00:00
73,1,logout,auth,用户登出,192.168.127.55,2025-12-12 10:00:00
74,5,view_car,car,查看车型详情,192.168.231.101,2025-09-03 09:00:00
75,2,view_review,review,查看评价,192.168.138.66,2025-09-03 18:00:00
76,1,view_car,car,查看车型详情,192.168.170.243,2026-03-21 22:00:00
77,3,search,search,搜索车型,192.168.203.57,2025-11-05 10:00:00
78,2,logout,auth,用户登出,192.168.4.189,2025-06-17 18:00:00
79,1,view_prediction,ml,查看销量预测,192.168.215.174,2025-06-24 11:00:00
80,4,login,auth,用户登录,192.168.164.196,2026-03-04 17:00:00
81,7,order_create,order,创建订单,192.168.65.63,2025-06-08 04:00:00
82,2,logout,auth,用户登出,192.168.99.101,2026-01-14 07:00:00
83,3,export,data,导出数据,192.168.238.2,2025-10-23 21:00:00
84,6,view_review,review,查看评价,192.168.86.194,2026-03-16 17:00:00
85,9,view_review,review,查看评价,192.168.83.220,2026-03-17 05:00:00
86,2,view_car,car,查看车型详情,192.168.152.189,2026-03-31 13:00:00
87,5,view_car,car,查看车型详情,192.168.102.12,2025-09-27 07:00:00
88,7,view_car,car,查看车型详情,192.168.205.3,2026-05-22 04:00:00
89,8,view_dashboard,dashboard,查看仪表盘,192.168.91.134,2025-09-04 02:00:00
90,5,view_review,review,查看评价,192.168.252.119,2025-06-13 22:00:00
91,10,view_car,car,查看车型详情,192.168.1.233,2026-01-14 03:00:00
92,2,view_dashboard,dashboard,查看仪表盘,192.168.216.42,2025-09-24 22:00:00
93,9,login,auth,用户登录,192.168.47.49,2026-01-07 22:00:00
94,3,logout,auth,用户登出,192.168.166.204,2026-04-08 23:00:00
95,3,logout,auth,用户登出,192.168.91.233,2026-02-24 03:00:00
96,9,export,data,导出数据,192.168.233.126,2025-06-03 21:00:00
97,6,export,data,导出数据,192.168.25.112,2025-07-25 03:00:00
98,9,view_prediction,ml,查看销量预测,192.168.55.138,2025-12-08 10:00:00
99,9,order_create,order,创建订单,192.168.21.187,2026-03-29 10:00:00
100,10,view_review,review,查看评价,192.168.177.250,2026-01-27 05:00:00
101,2,view_prediction,ml,查看销量预测,192.168.143.133,2025-06-23 22:00:00
102,1,view_dashboard,dashboard,查看仪表盘,192.168.235.61,2026-02-01 17:00:00
103,10,search,search,搜索车型,192.168.18.141,2025-12-10 19:00:00
104,3,order_create,order,创建订单,192.168.233.149,2026-02-01 05:00:00
105,9,compare,car,车型对比,192.168.85.247,2025-11-07 01:00:00
106,2,order_create,order,创建订单,192.168.36.44,2026-01-31 05:00:00
107,1,login,auth,用户登录,192.168.46.142,2025-09-18 19:00:00
108,5,order_create,order,创建订单,192.168.33.161,2025-09-26 04:00:00
109,3,login,auth,用户登录,192.168.65.23,2025-10-21 08:00:00
110,8,compare,car,车型对比,192.168.168.55,2025-08-07 23:00:00
111,9,logout,auth,用户登出,192.168.17.108,2025-12-02 18:00:00
112,10,search,search,搜索车型,192.168.180.3,2026-05-11 04:00:00
113,1,view_car,car,查看车型详情,192.168.10.163,2025-09-15 01:00:00
114,5,view_car,car,查看车型详情,192.168.57.219,2025-08-07 04:00:00
115,8,view_review,review,查看评价,192.168.92.218,2025-08-05 22:00:00
116,2,search,search,搜索车型,192.168.96.184,2025-09-08 01:00:00
117,3,order_create,order,创建订单,192.168.24.107,2025-11-19 01:00:00
118,7,compare,car,车型对比,192.168.102.51,2025-06-02 21:00:00
119,1,view_dashboard,dashboard,查看仪表盘,192.168.184.204,2026-04-01 07:00:00
120,8,view_review,review,查看评价,192.168.118.92,2025-12-21 18:00:00
121,2,export,data,导出数据,192.168.138.58,2025-08-07 02:00:00
122,1,view_car,car,查看车型详情,192.168.254.154,2025-07-16 13:00:00
123,2,view_review,review,查看评价,192.168.77.97,2026-04-08 01:00:00
124,3,export,data,导出数据,192.168.192.245,2026-02-27 06:00:00
125,2,login,auth,用户登录,192.168.68.64,2026-03-05 08:00:00
126,2,export,data,导出数据,192.168.100.101,2025-08-23 04:00:00
127,10,logout,auth,用户登出,192.168.206.223,2025-09-12 03:00:00
128,7,view_review,review,查看评价,192.168.4.129,2025-06-29 11:00:00
129,7,order_create,order,创建订单,192.168.227.95,2025-12-31 12:00:00
130,8,login,auth,用户登录,192.168.99.60,2026-05-25 12:00:00
131,3,logout,auth,用户登出,192.168.147.132,2025-12-19 11:00:00
132,6,login,auth,用户登录,192.168.78.149,2025-10-25 08:00:00
133,5,login,auth,用户登录,192.168.113.248,2026-01-07 12:00:00
134,4,compare,car,车型对比,192.168.155.198,2025-09-05 22:00:00
135,4,export,data,导出数据,192.168.107.89,2025-06-05 09:00:00
136,10,view_prediction,ml,查看销量预测,192.168.43.117,2025-09-06 04:00:00
137,3,view_prediction,ml,查看销量预测,192.168.35.112,2025-07-31 02:00:00
138,5,view_car,car,查看车型详情,192.168.66.56,2025-12-28 21:00:00
139,3,view_dashboard,dashboard,查看仪表盘,192.168.241.168,2026-03-12 22:00:00
140,6,compare,car,车型对比,192.168.173.39,2025-07-22 21:00:00
141,9,order_create,order,创建订单,192.168.163.227,2025-06-21 17:00:00
142,8,export,data,导出数据,192.168.244.176,2026-04-13 03:00:00
143,10,view_prediction,ml,查看销量预测,192.168.38.164,2025-10-01 23:00:00
144,5,logout,auth,用户登出,192.168.169.154,2026-03-20 21:00:00
145,7,compare,car,车型对比,192.168.57.52,2026-03-14 10:00:00
146,4,view_car,car,查看车型详情,192.168.185.248,2025-10-23 14:00:00
147,3,view_dashboard,dashboard,查看仪表盘,192.168.171.15,2025-12-04 17:00:00
148,4,search,search,搜索车型,192.168.63.67,2025-09-12 01:00:00
149,4,logout,auth,用户登出,192.168.21.181,2025-12-05 21:00:00
150,9,view_review,review,查看评价,192.168.104.8,2025-12-09 23:00:00
151,5,view_dashboard,dashboard,查看仪表盘,192.168.222.120,2025-12-17 22:00:00
152,10,compare,car,车型对比,192.168.128.85,2026-01-19 12:00:00
153,10,compare,car,车型对比,192.168.185.198,2026-04-22 10:00:00
154,4,view_dashboard,dashboard,查看仪表盘,192.168.248.62,2026-01-10 11:00:00
155,10,view_review,review,查看评价,192.168.254.220,2025-10-17 12:00:00
156,7,export,data,导出数据,192.168.199.129,2025-12-13 02:00:00
157,7,search,search,搜索车型,192.168.232.72,2025-08-04 02:00:00
158,3,view_dashboard,dashboard,查看仪表盘,192.168.74.95,2025-06-12 17:00:00
159,1,export,data,导出数据,192.168.86.237,2026-04-13 09:00:00
160,9,logout,auth,用户登出,192.168.209.88,2025-09-03 12:00:00
161,10,view_car,car,查看车型详情,192.168.83.202,2025-12-08 18:00:00
162,7,view_prediction,ml,查看销量预测,192.168.78.217,2026-01-15 05:00:00
163,2,search,search,搜索车型,192.168.4.117,2025-10-20 04:00:00
164,4,view_dashboard,dashboard,查看仪表盘,192.168.199.184,2026-03-29 03:00:00
165,5,view_car,car,查看车型详情,192.168.99.32,2025-10-25 01:00:00
166,5,order_create,order,创建订单,192.168.150.51,2025-10-05 05:00:00
167,7,logout,auth,用户登出,192.168.78.199,2025-11-10 09:00:00
168,4,login,auth,用户登录,192.168.116.146,2025-12-29 07:00:00
169,8,search,search,搜索车型,192.168.27.247,2026-05-15 00:00:00
170,1,order_create,order,创建订单,192.168.166.176,2025-08-02 15:00:00
